Workclass;fnlwgt;Capital Gain;Capital Loss;Hours per week;ID;Target
 State-gov;77516.0;2174.0;0.0;40.0;49084; <=50K
 Self-emp-not-inc;83311.0;0.0;0.0;13.0;68553; <=50K
 Private;215646.0;0.0;0.0;40.0;143654; <=50K
 Private;234721.0;0.0;0.0;40.0;41510; <=50K
 Private;338409.0;0.0;0.0;40.0;195025; <=50K
 Private;284582.0;0.0;0.0;40.0;231557; <=50K
 Private;160187.0;0.0;0.0;16.0;393526; <=50K
 Self-emp-not-inc;209642.0;0.0;0.0;45.0;488425; >50K
 Private;45781.0;14084.0;0.0;50.0;7496; >50K
 Private;159449.0;5178.0;0.0;40.0;576313; >50K
 Private;280464.0;0.0;0.0;80.0;293735; >50K
 State-gov;141297.0;0.0;0.0;40.0;109140; >50K
 Private;122272.0;0.0;0.0;30.0;672660; <=50K
 Private;205019.0;0.0;0.0;50.0;1350323; <=50K
 Private;121772.0;0.0;0.0;40.0;1291859; >50K
 Private;245487.0;0.0;0.0;45.0;1477302; <=50K
 Self-emp-not-inc;176756.0;0.0;0.0;35.0;900748; <=50K
 Private;186824.0;0.0;0.0;40.0;1277190; <=50K
 Private;28887.0;0.0;0.0;50.0;958243; <=50K
 Self-emp-not-inc;292175.0;0.0;0.0;45.0;1307088; >50K
 Private;193524.0;0.0;0.0;60.0;622218; >50K
 Private;302146.0;0.0;0.0;20.0;1621743; <=50K
 Federal-gov;76845.0;0.0;0.0;40.0;588100; <=50K
 Private;117037.0;0.0;2042.0;40.0;1927654; <=50K
 Private;109015.0;0.0;0.0;40.0;2257398; <=50K
 Local-gov;216851.0;0.0;0.0;40.0;264164; >50K
 Private;168294.0;0.0;0.0;40.0;2076871; <=50K
 ?;180211.0;0.0;0.0;60.0;1373612; >50K
 Private;367260.0;0.0;0.0;80.0;40290; <=50K
 Private;193366.0;0.0;0.0;40.0;1975285; <=50K
 Local-gov;190709.0;0.0;0.0;52.0;2592882; <=50K
 Private;266015.0;0.0;0.0;44.0;181134; <=50K
 Private;386940.0;0.0;1408.0;40.0;792283; <=50K
 Federal-gov;59951.0;0.0;0.0;40.0;1174907; <=50K
 State-gov;311512.0;0.0;0.0;15.0;70451; <=50K
 Private;242406.0;0.0;0.0;40.0;2308297; <=50K
 Private;197200.0;0.0;0.0;40.0;192189; <=50K
 Private;544091.0;0.0;0.0;25.0;2629662; <=50K
 Private;84154.0;0.0;0.0;38.0;3834954; >50K
 Self-emp-not-inc;265477.0;0.0;0.0;40.0;2950020; <=50K
 Private;507875.0;0.0;0.0;43.0;1438580; <=50K
 Self-emp-not-inc;88506.0;0.0;0.0;40.0;2170492; <=50K
 Private;172987.0;0.0;0.0;50.0;516612; <=50K
 Private;94638.0;0.0;0.0;40.0;2172490; <=50K
 Private;289980.0;0.0;0.0;35.0;3349035; <=50K
 Federal-gov;337895.0;0.0;0.0;40.0;854480; >50K
 Private;144361.0;0.0;0.0;38.0;3767065; <=50K
 Private;128354.0;0.0;0.0;40.0;4176828; <=50K
 State-gov;101603.0;0.0;0.0;40.0;2378448; <=50K
 Private;271466.0;0.0;0.0;43.0;1082797; <=50K
 Private;32275.0;0.0;0.0;40.0;3675161; <=50K
 Private;226956.0;0.0;0.0;30.0;587581; <=50K
 Private;51835.0;0.0;1902.0;60.0;4198721; >50K
 Federal-gov;251585.0;0.0;0.0;55.0;3729325; >50K
 Self-emp-inc;109832.0;0.0;0.0;60.0;2078122; <=50K
 Private;237993.0;0.0;0.0;40.0;3126340; >50K
 Private;216666.0;0.0;0.0;40.0;2247374; <=50K
 Private;56352.0;0.0;0.0;40.0;4103064; <=50K
 Private;147372.0;0.0;0.0;48.0;661130; <=50K
 Private;188146.0;5013.0;0.0;40.0;4806846; <=50K
 Private;59496.0;2407.0;0.0;40.0;2349858; <=50K
 ?;293936.0;0.0;0.0;40.0;488101; <=50K
 Private;149640.0;0.0;0.0;40.0;347920; <=50K
 Private;116632.0;0.0;0.0;45.0;407469; >50K
 Private;105598.0;0.0;0.0;58.0;4297326; <=50K
 Private;155537.0;0.0;0.0;40.0;701207; <=50K
 Private;183175.0;0.0;0.0;40.0;4906679; <=50K
 Private;169846.0;0.0;0.0;40.0;6470610; >50K
 Self-emp-inc;191681.0;0.0;0.0;50.0;5838816; >50K
 ?;200681.0;0.0;0.0;40.0;1200246; <=50K
 Private;101509.0;0.0;0.0;32.0;1948374; <=50K
 Private;309974.0;0.0;0.0;40.0;7081213; <=50K
 Self-emp-not-inc;162298.0;0.0;0.0;70.0;4786028; >50K
 Private;211678.0;0.0;0.0;40.0;1259161; <=50K
 Private;124744.0;0.0;0.0;20.0;5155873; <=50K
 Private;213921.0;0.0;0.0;40.0;7501036; <=50K
 Private;32214.0;0.0;0.0;40.0;1612577; <=50K
 ?;212759.0;0.0;0.0;2.0;2833118; <=50K
 Private;309634.0;0.0;0.0;22.0;3700477; <=50K
 Local-gov;125927.0;0.0;0.0;40.0;1743220; <=50K
 Private;446839.0;0.0;0.0;30.0;5570488; <=50K
 Private;276515.0;0.0;0.0;40.0;6409114; <=50K
 Private;51618.0;0.0;0.0;40.0;4549118; <=50K
 Private;159937.0;0.0;0.0;48.0;4454209; <=50K
 Private;343591.0;14344.0;0.0;40.0;5453954; >50K
